Country_Name,Country_Code,Indicator_Name,Indicator_Code,1999,2000,2001,2002,2003,Total_T_Attacks,1999_T_Attacks,2000_T_Attacks,2001_T_Attacks,2002_T_Attacks,2003_T_Attacks,iyear,country_txt,attacktype1_txt,targtype1_txt,gname,weaptype1_txt,weapsubtype1_txt,nkill
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1722798883,1873452514,1920111732,1941340782,2021229050,0,0,0,0,0,0,1999,Colombia,Armed Assault,Private Citizens & Property,Right-Wing Death Squad,Melee,Knife or Other Sharp Object,20
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,,,,4055179566,4515558808,175,9,14,14,38,100,1999,Angola,Armed Assault,Government (Diplomatic),National Union for the Total Independence of Angola (UNITA),Firearms,Automatic or Semi-Automatic Rifle,
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,6152922943,9129594819,8936063723,15285594828,17812705294,102,34,22,40,6,0,1999,South Africa,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,Vehicle,0
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,3212119044,3480355189,3922099471,4348070165,5611492283,7,3,2,1,0,1,1999,Philippines,Bombing/Explosion,Private Citizens & Property,Abu Sayyaf Group (ASG),Explosives,Grenade,10
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1239876305,1429049198,1546926174,1755910032,2361726862,0,0,0,0,0,0,1999,Algeria,Armed Assault,Private Citizens & Property,Rebels,Melee,Knife or Other Sharp Object,22
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,6.44527E+11,7.35685E+11,7.22917E+11,7.26833E+11,8.2109E+11,0,0,0,0,0,0,1999,Greece,Bombing/Explosion,Educational Institution,Fight Against Authority,Explosives,Other Explosive Type,0
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,84445473111,1.04337E+11,1.03312E+11,1.09816E+11,1.24346E+11,0,0,0,0,0,0,1999,Pakistan,Assassination,Government (General),Muttahida Qami Movement (MQM),Explosives,Time Fuse,4
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,2.83523E+11,2.84204E+11,2.68697E+11,97724004252,1.27587E+11,4,1,0,2,0,1,1999,Pakistan,Armed Assault,Religious Figures/Institutions,Lashkar-e-Jhangvi,Firearms,Automatic or Semi-Automatic Rifle,17
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1845482181,1911563665,2118467913,2376335048,2807061009,6,2,2,2,0,0,1999,India,Bombing/Explosion,Police,Unknown,Explosives,"Projectile (rockets, mortars, RPGs, etc.)",2
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,514000000,527000000,0,0,0,0,0,0,1999,West Bank and Gaza Strip,Armed Assault,Private Citizens & Property,Unknown,Firearms,Other Gun Type,0
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,766200000,826370370.4,800481481.5,814381481.5,856396296.3,0,0,0,0,0,0,1999,Philippines,Bombing/Explosion,Military,Abu Sayyaf Group (ASG),Explosives,Grenade,0
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,3.88608E+11,4.15223E+11,3.78376E+11,3.94649E+11,4.66488E+11,3,0,1,2,0,0,1999,Yugoslavia,Bombing/Explosion,Business,Unknown,Explosives,Grenade,0
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,2.17186E+11,1.968E+11,1.97338E+11,2.13378E+11,2.61696E+11,0,0,0,0,0,0,1999,United Kingdom,Armed Assault,Private Citizens & Property,Unknown,Firearms,Handgun,0
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,4581246713,5272617196,5707720391,6235856820,7276013032,6,0,1,4,1,0,1999,Iran,Assassination,Government (General),Mahdaviyat,Explosives,Sticky Bomb,1
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,808077223.4,870486065.9,876794723.1,825394490.2,784654423.6,103,13,17,37,18,18,1999,France,Bombing/Explosion,Government (General),Unknown,Explosives,Unknown Explosive Type,0
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,2.58159E+11,2.36205E+11,2.36541E+11,2.57158E+11,3.17382E+11,13,2,0,0,3,8,1999,France,Bombing/Explosion,Government (General),Unknown,Explosives,Unknown Explosive Type,0
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,3676045653,3511248900,3663017700,4174634520,5337266688,0,0,0,0,0,0,1999,Pakistan,Armed Assault,Religious Figures/Institutions,Unknown,Firearms,Automatic or Semi-Automatic Rifle,19
