Country_Name,Country_Code,Indicator_Name,Indicator_Code,1999,2000,2001,2002,2003,Total_T_Attacks,1999_T_Attacks,2000_T_Attacks,2001_T_Attacks,2002_T_Attacks,2003_T_Attacks,iyear,country_txt,attacktype1_txt,targtype1_txt,gname,weaptype1_txt,weapsubtype1_txt,nkill,1000000000
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1.722798883,1.873452514,1.920111732,1.941340782,2.02122905,0,0,0,0,0,0,1999,Colombia,Armed Assault,Private Citizens & Property,Right-Wing Death Squad,Melee,Knife or Other Sharp Object,20,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,0,0,0,4.055179566,4.515558808,175,9,14,14,38,100,1999,Angola,Armed Assault,Government (Diplomatic),National Union for the Total Independence of Angola (UNITA),Firearms,Automatic or Semi-Automatic Rifle,,
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,6.152922943,9.129594819,8.936063723,15.28559483,17.81270529,102,34,22,40,6,0,1999,South Africa,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,Vehicle,0,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,3.212119044,3.480355189,3.922099471,4.348070165,5.611492283,7,3,2,1,0,1,1999,Philippines,Bombing/Explosion,Private Citizens & Property,Abu Sayyaf Group (ASG),Explosives,Grenade,10,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1.239876305,1.429049198,1.546926174,1.755910032,2.361726862,0,0,0,0,0,0,1999,Algeria,Armed Assault,Private Citizens & Property,Rebels,Melee,Knife or Other Sharp Object,22,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,644.5270107,735.6853193,722.9170104,726.8327401,821.0899318,0,0,0,0,0,0,1999,Greece,Bombing/Explosion,Educational Institution,Fight Against Authority,Explosives,Other Explosive Type,0,
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,84.44547311,104.3373724,103.3116406,109.8162015,124.3463581,0,0,0,0,0,0,1999,Pakistan,Assassination,Government (General),Muttahida Qami Movement (MQM),Explosives,Time Fuse,4,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,283.523,284.20375,268.69675,97.72400425,127.5869735,4,1,0,2,0,1,1999,Pakistan,Armed Assault,Religious Figures/Institutions,Lashkar-e-Jhangvi,Firearms,Automatic or Semi-Automatic Rifle,17,
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1.845482181,1.911563665,2.118467913,2.376335048,2.807061009,6,2,2,2,0,0,1999,India,Bombing/Explosion,Police,Unknown,Explosives,"Projectile (rockets, mortars, RPGs, etc.)",2,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,0,0,0,0.514,0.527,0,0,0,0,0,0,1999,West Bank and Gaza Strip,Armed Assault,Private Citizens & Property,Unknown,Firearms,Other Gun Type,0,
