Country_Name,Country_Code,Indicator_Name,Indicator_Code,1999,2000,2001,2002,2003,Total_T_Attacks,1999_T_Attacks,2000_T_Attacks,2001_T_Attacks,2002_T_Attacks,2003_T_Attacks,Attack_Type,Attack_Type_Count,Target_Type,Target_Type_Count,Weapon_Type,Weapon_Type_Count
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1.722798883,1.873452514,1.920111732,1.941340782,2.02122905,0,0,0,0,0,0,Armed Assault,2124,Abortion Related,19,Biological,20
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,0,0,0,4.055179566,4.515558808,175,9,14,14,38,100,Assassination,452,Airports & Aircraft,76,Chemical,52
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,6.152922943,9.129594819,8.936063723,15.28559483,17.81270529,102,34,22,40,6,0,Bombing/Explosion,3765,Business,888,Explosives,3825
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,3.212119044,3.480355189,3.922099471,4.348070165,5.611492283,7,3,2,1,0,1,Facility/Infrastructre Attack,0,Educational Institution,160,Fake Weapons,3
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1.239876305,1.429049198,1.546926174,1.755910032,2.361726862,0,0,0,0,0,0,Hijacking,36,Food or Water Supply,13,Firearms,2530
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,644.5270107,735.6853193,722.9170104,726.8327401,821.0899318,0,0,0,0,0,0,Hostage Taking (Barricade Incident),18,Government (Diplomatic),203,Incendiary,593
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,84.44547311,104.3373724,103.3116406,109.8162015,124.3463581,0,0,0,0,0,0,Hostage Taking (Kidnapping),509,Government (General),1088,Melee,228
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,283.523,284.20375,268.69675,97.72400425,127.5869735,4,1,0,2,0,1,Unarmed Assault,133,Journalists & Media,154,Other,18
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1.845482181,1.911563665,2.118467913,2.376335048,2.807061009,6,2,2,2,0,0,Unknown,179,Maritime,25,Radiological,10
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,0,0,0,0.514,0.527,0,0,0,0,0,0,,,Military,898,Sabotage Equipment,9
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,0.7662,0.82637037,0.800481481,0.814381481,0.856396296,0,0,0,0,0,0,,,NGO,77,Unknown,429
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,388.6082216,415.2226339,378.3760867,394.6489117,466.4880606,3,0,1,2,0,0,,,Police,795,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",9
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,217.1857873,196.7997789,197.3378792,213.3777715,261.6957788,0,0,0,0,0,0,,,Private Citizens & Property,2271,,
